Date and Time,Download Speed (Mbps),Upload Speed (Mbps),Ping Speed (ms)
09/Jul/2021 - 21:08:44 IST,38.99,31.75,10.391
09/Jul/2021 - 21:10:10 IST,24.5,21.5,8.207
09/Jul/2021 - 21:29:52 IST,24.42,11.71,9.049
10/Jul/2021 - 10:40:34 IST,47.43,26.95,32.855
12/Jul/2021 - 09:17:35 IST,18.49,26.63,34.09
13/Jul/2021 - 00:05:07 IST,31.93,31.63,8.164
15/Jul/2021 - 22:41:07 IST,11.51,27.13,38.68
20/Jul/2021 - 18:22:33 IST,11.02,33.02,65.646
21/Jul/2021 - 12:01:39 IST,17.53,23.18,9.423
04/Aug/2021 - 16:25:02 IST,78.57,73.45,9.497
27/Aug/2021 - 20:56:02 IST,76.96,73.68,19.057
18/Sep/2021 - 21:33:18 IST,75.89,68.7,30.467
12/Oct/2021 - 22:51:56 IST,78.54,74.85,9.52
12/Oct/2021 - 22:54:09 IST,78.37,74.07,7.077
21/Oct/2021 - 14:53:31 IST,119.43,118.89,33.824
04/Nov/2021 - 23:27:28 IST,77.41,69.31,21.642
19/Jan/2022 - 21:07:33 IST,77.45,76.44,5.626
27/Jul/2022 - 21:42:51 IST,113.86,110.96,21.714
